,crime_type,date,address,Latitude,Longitude
1240,Robbery,2018-03-08 0:00:00,100 BLOCK OF STUYVESANT AVE,40.6922976,-73.9341836
1241,Robbery,2018-03-08 0:00:00,5900 BLOCK OF 8TH AVE,25.8294646,-80.2106435
1242,Robbery,2018-03-08 0:00:00,I-95,36.8780134,-77.4037145
1243,Robbery,2018-03-08 0:00:00,500 BLOCK OF STANLEY AVE,38.0022545,-87.5569478
1244,Robbery,2018-03-08 0:00:00,1600 BLOCK OF E 48TH ST,40.6212122,-73.9290761
1245,Robbery,2018-03-08 0:00:00,,,
1246,Robbery,2018-03-08 0:00:00,,,
1247,Robbery,2018-03-08 0:00:00,,,
1248,Robbery,2018-03-08 0:00:00,300 BLOCK OF E 138TH ST,40.8101371,-73.926491
1249,Robbery,2018-03-08 0:00:00,00 BLOCK OF E 172ND ST,41.5831572,-87.5804644
1250,Robbery,2018-03-08 0:00:00,,,
1251,Robbery,2018-03-08 0:00:00,2739-2769 FORT HAMILTON PKWY,40.6498477,-73.9753324
1252,Robbery,2018-03-08 0:00:00,100 BLOCK OF PARK AVE,,
1253,Robbery,2018-03-08 0:00:00,,,
1254,Robbery,2018-03-08 0:00:00,300 BLOCK OF MARY WARREN PLACE,,
1255,Robbery,2018-03-08 0:00:00,,,
1256,Robbery,2018-03-08 0:00:00,788-798 PROSPECT AVE,40.8195196,-73.9016402
1257,Robbery,2018-03-08 0:00:00,92-2 172ND ST,40.7074029,-73.7879949
1258,Robbery,2018-03-08 0:00:00,,,
1259,Robbery,2018-03-08 0:00:00,94-01 CORONA AVE,40.7424997,-73.8698135
1260,Robbery,2018-03-08 0:00:00,1900 BLOCK OF 59TH ST,,
1261,Robbery,2018-03-08 0:00:00,00 BLOCK OF MALCOLM X BLVD,40.8096568,-73.9442007
1262,Robbery,2018-03-08 0:00:00,,,
1263,Robbery,2018-03-08 0:00:00,,,
1264,Robbery,2018-03-08 0:00:00,1200 BLOCK OF COMMONWEALTH AVE,42.3501664,-71.1298584
1265,Robbery,2018-03-08 0:00:00,200 BLOCK OF E 14TH ST,36.1811215,-85.5026593
1266,Robbery,2018-03-08 0:00:00,100 BLOCK OF BANK ST,40.7362367,-74.0070136
1267,Robbery,2018-03-08 0:00:00,,,
1268,Robbery,2018-03-08 0:00:00,300 BLOCK OF LIBERTY AVE,40.4405619,-80.0061974
1269,Robbery,2018-03-07 0:00:00,1300 BLOCK OF HERSCHELL ST,40.836104,-73.842352
1270,Robbery,2018-03-07 0:00:00,2900 BLOCK OF AVENUE X,40.593691,-73.941631
1271,Robbery,2018-03-07 0:00:00,624-630 UTICA AVE,40.6583086,-73.9310928
1272,Robbery,2018-03-07 0:00:00,700 BLOCK OF AMSTERDAM AVE,40.7927353,-73.9715508
1273,Robbery,2018-03-07 0:00:00,,,
1274,Robbery,2018-03-07 0:00:00,900 BLOCK OF CASTLE HILL AVE,40.825592,-73.84925
1275,Robbery,2018-03-07 0:00:00,400 BLOCK OF MALCOLM X BLVD,40.6792758,-73.9290676
1276,Robbery,2018-03-07 0:00:00,116-128 MOORE ST,29.885698,-81.315696
1277,Robbery,2018-03-07 0:00:00,8700 BLOCK OF AVENUE L,,
1278,Robbery,2018-03-07 0:00:00,,,
1279,Robbery,2018-03-07 0:00:00,500 BLOCK OF RIVERSIDE DR,,
1280,Robbery,2018-03-07 0:00:00,,,
1281,Robbery,2018-03-07 0:00:00,,,
1282,Robbery,2018-03-07 0:00:00,,,
1283,Robbery,2018-03-07 0:00:00,,,
1284,Robbery,2018-03-07 0:00:00,,,
1285,Robbery,2018-03-07 0:00:00,200 BLOCK OF E 55TH ST,40.7589765,-73.9684959
1286,Robbery,2018-03-07 0:00:00,,,
1287,Robbery,2018-03-07 0:00:00,,,
1288,Robbery,2018-03-07 0:00:00,00 BLOCK OF W 190TH ST,33.8583903,-118.3288713
1289,Robbery,2018-03-07 0:00:00,,,
1290,Robbery,2018-03-07 0:00:00,1926-1930 BISHOP FRANCISCO GARMENDIA PL,40.8413768,-73.8852275
1291,Robbery,2018-03-07 0:00:00,,,
1292,Robbery,2018-03-07 0:00:00,38-04 98TH ST,40.7500021,-73.8680789
1293,Robbery,2018-03-07 0:00:00,00 BLOCK OF EBBITTS ST,40.5631445,-74.1078743
1294,Robbery,2018-03-07 0:00:00,600 BLOCK OF SUTTER AVE,40.669068,-73.8963696
1295,Robbery,2018-03-06 0:00:00,1700 BLOCK OF SEDGWICK AVE,40.8505104,-73.9220987
1296,Robbery,2018-03-06 0:00:00,100 BLOCK OF DR MARTIN LUTHER KING JR BLVD,,
1297,Robbery,2018-03-06 0:00:00,250-298 E 187TH ST,40.8599223,-73.897557
1298,Robbery,2018-03-06 0:00:00,,,
1299,Robbery,2018-03-06 0:00:00,8400 BLOCK OF JAMAICA AVE,40.6918732,-73.8638491
1300,Robbery,2018-03-06 0:00:00,95-06 ALLENDALE ST,40.6972949,-73.809018
