,crime_type,date,address,Latitude,Longitude
0,Burglary,2018-03-08 0:00:00,300 BLOCK OF 43RD ST,,
1,Burglary,2018-03-08 0:00:00,,,
2,Burglary,2018-03-08 0:00:00,200 BLOCK OF HUMBOLDT ST,40.7450055,-123.8695086
3,Burglary,2018-03-08 0:00:00,350-398 W 49TH ST,40.7626388,-73.9891817
4,Burglary,2018-03-08 0:00:00,100 BLOCK OF E BROADWAY,,
5,Burglary,2018-03-08 0:00:00,200 BLOCK OF HUMBOLDT ST,40.7450055,-123.8695086
6,Burglary,2018-03-08 0:00:00,,,
7,Burglary,2018-03-08 0:00:00,,,
8,Burglary,2018-03-08 0:00:00,16000 BLOCK OF 21ST RD,,
9,Burglary,2018-03-08 0:00:00,279-299 W 22ND ST,40.8320409,-73.4372877
10,Burglary,2018-03-08 0:00:00,2000 BLOCK OF MCDONALD AVE,40.6037966,-73.97255
11,Burglary,2018-03-08 0:00:00,,,
12,Burglary,2018-03-08 0:00:00,5100 BLOCK OF 2ND AVE,,
13,Burglary,2018-03-08 0:00:00,,,
14,Burglary,2018-03-08 0:00:00,200 BLOCK OF ELLERY ST,40.6987207,-73.944833
15,Burglary,2018-03-08 0:00:00,800 BLOCK OF CARROLL ST,40.672401,-73.975045
16,Burglary,2018-03-08 0:00:00,,,
17,Burglary,2018-03-08 0:00:00,300 BLOCK OF GRAHAM AVE,40.7127393,-73.9438448
18,Burglary,2018-03-08 0:00:00,,,
19,Burglary,2018-03-08 0:00:00,1101-1117 W FARMS RD,40.1835901,-74.2542422
20,Burglary,2018-03-08 0:00:00,132-98 133 ST,,
21,Burglary,2018-03-08 0:00:00,,,
22,Burglary,2018-03-08 0:00:00,,,
23,Burglary,2018-03-08 0:00:00,18-65 211TH ST,40.780811,-73.7810179
24,Burglary,2018-03-08 0:00:00,75-1-75-15 YELLOWSTONE BLVD,40.7150573,-73.8586661
25,Burglary,2018-03-08 0:00:00,2400 BLOCK OF E 23RD ST,37.7891559,-122.2281145
26,Burglary,2018-03-07 0:00:00,00 BLOCK OF AVENUE W,40.5960217,-73.9405505
27,Burglary,2018-03-07 0:00:00,360-368 MORRIS AVE,41.842889,-71.3968688
28,Burglary,2018-03-07 0:00:00,30-54 E 55TH ST,40.6576212,-73.9264428
29,Burglary,2018-03-07 0:00:00,217-73-217-99 68TH AVE,26.1271479,-80.2379142
30,Burglary,2018-03-07 0:00:00,,,
31,Burglary,2018-03-07 0:00:00,103-2-103-8 ROOSEVELT AVE,40.749389,-73.862535
32,Burglary,2018-03-07 0:00:00,200 BLOCK OF W 102ND ST,40.7978795,-73.9679199
33,Burglary,2018-03-07 0:00:00,00 BLOCK OF LOTT AVE,40.6580105,-73.907312
34,Burglary,2018-03-07 0:00:00,00 BLOCK OF 70TH AVE,37.7595941,-122.1906215
35,Burglary,2018-03-07 0:00:00,00 BLOCK OF DEARBORN CT,42.3222599,-83.1763145
36,Burglary,2018-03-07 0:00:00,,,
37,Burglary,2018-03-07 0:00:00,,,
38,Burglary,2018-03-07 0:00:00,49-0 108TH ST,40.7406992,-73.8536185
39,Burglary,2018-03-07 0:00:00,2900 BLOCK OF FREDERICK DOUGLASS BLVD,40.8281222,-73.9377044
40,Burglary,2018-03-07 0:00:00,,,
41,Burglary,2018-03-07 0:00:00,,,
42,Burglary,2018-03-07 0:00:00,,,
43,Burglary,2018-03-07 0:00:00,3100 BLOCK OF HEATH AVE,40.878121,-73.9009319
44,Burglary,2018-03-07 0:00:00,,,
45,Burglary,2018-03-07 0:00:00,11-25 IRVING AVE,40.6924719,-73.9026452
46,Burglary,2018-03-07 0:00:00,,,
